flow_id,source,destination,source_tor,destination_tor,lane,tor_offset,bytes,start_ns,start_ms,start_superslice,completed,finish_ms,fct_ms,flow_goodput_gbps,total_data_hops,data_hops_per_nominal_packet,unfinished_marker,generated,delivered,queue_arrivals,queue_transmissions,dropped,overflow,timeout,shaping,tentative,shaping_checks,shaping_admitted,waste_hops,topology,path_hops_min,path_hops_max,path_hops_sum,last_credit_path_hops,mean_credit_path_hops,credit_drop_ratio,credit_delivery_ratio,waste_link_bytes
0,0,6,0,1,0,1,33554432,1000,0.001,0,True,12.923338,12.922338,20.772979007359194,61252,2.6213035477382634,False,102269,23338,301636,222705,78931,0,0,829,78102,1807,978,35977,0,1,5,314113,3,3.0714390480008604,0.771797905523668,0.22820209447633202,2302528
1,1,115,0,19,1,19,33554432,491500,0.4915,9,True,18.101049999999997,17.60955,15.24374308258871,57068,2.4422476141567167,False,139405,23333,401586,285514,116072,6,0,470,115596,1102,632,65813,0,1,5,468695,3,3.3621103977619167,0.8326243678490729,0.16737563215092716,4212032
2,2,224,0,37,2,37,33554432,982000,0.982,18,True,15.765141999999999,14.783142,18.158213998079706,56186,2.404502075576668,False,117002,23356,324787,231141,93646,22,0,784,92840,1976,1192,34660,0,1,5,363833,2,3.1096306046050497,0.8003794806926378,0.19962051930736227,2218240
3,3,333,0,55,3,55,33554432,1472500,1.4725,27,True,16.08852,14.61602,18.365838032515008,55912,2.392776137287628,False,115700,23355,320158,227813,92345,0,0,945,91400,2417,1472,32913,0,1,5,352621,2,3.0477182368193603,0.7981417458945549,0.2018582541054451,2106432
4,4,442,0,73,4,73,33554432,1963000,1.963,36,True,17.192726,15.229726,17.625757416778214,59907,2.56374374117345,False,120537,23369,338674,241506,97168,8,0,1067,96093,2222,1155,37731,0,1,5,384428,3,3.189294573450476,0.8061259198420402,0.1938740801579598,2414784
5,5,551,0,91,5,91,33554432,2453500,2.4535,45,True,17.960262,15.506762,17.310864511881977,61351,2.6255402918645956,False,122759,23358,348811,249410,99401,0,0,602,98799,1167,565,42044,0,1,5,405125,2,3.3001653646575813,0.8097247452325288,0.19027525476747123,2690816
6,6,12,1,2,0,1,33554432,55500,0.0555,1,True,13.295683,13.240183,20.274301042515802,59760,2.557452818076775,False,104813,23344,315011,233542,81469,0,0,425,81044,982,557,45738,0,1,5,332107,3,3.1685668762462673,0.7772795359354279,0.22272046406457213,2927232
7,7,121,1,20,1,19,33554432,546000,0.546,10,True,15.140806,14.594806,18.392533343711456,58765,2.5148713998373773,False,115508,23334,325529,233355,92174,0,0,1030,91144,1992,962,35850,0,1,4,356451,3,3.0859420992485367,0.7979880181459292,0.2020119818540707,2294400
8,8,230,1,38,2,37,33554432,1036500,1.0365,19,True,11.421946,10.385446,25.847272808505288,53929,2.3079128685753414,False,82203,23367,242621,183785,58836,0,0,756,58080,2221,1465,24329,0,1,5,245493,2,2.986423853144046,0.7157403014488523,0.28425969855114774,1557056
9,9,339,1,56,3,55,33554432,1527000,1.527,28,True,17.235592,15.708592,17.08844790163243,53140,2.2741473017503315,False,124333,23345,347460,246472,100988,65,0,723,100200,1850,1127,45759,0,1,5,377101,1,3.032992045555082,0.8122381025150202,0.18776189748497984,2928576
10,10,448,1,74,4,73,33554432,2017500,2.0175,37,True,17.757649999999998,15.74015,17.05418665006369,56193,2.4048016433431765,False,124584,23332,352151,250899,101252,0,0,755,100497,2043,1288,46898,0,1,5,385837,3,3.097002825402941,0.8127207346047647,0.18727926539523534,3001472
11,11,557,1,92,5,91,33554432,2508000,2.508,46,True,14.528901999999999,12.020902,22.330724932288774,56889,2.4345872384131466,False,95147,23360,275809,204022,71787,58,0,1024,70705,3006,1982,28757,0,1,4,290513,1,3.05330698813415,0.7544851650603802,0.24551483493961976,1840448
12,12,18,2,3,0,1,33554432,110000,0.11,2,True,12.853212,12.743212,21.064976082953027,61144,2.616681645054992,False,100861,23329,298508,220976,77532,2,0,609,76921,1554,945,35718,0,1,5,315973,3,3.1327569625524236,0.7687014802550044,0.2312985197449956,2285952
