scope,id,port,received,transmitted,queued,max_queued,dropped,overflow,timeout,shaping,tentative,shaping_checks,shaping_admitted,credit_drop_ratio,data_drops,max_data_queue_bytes,current_data_queue_bytes,tor,role,rotor,max_data_queue_packets
host,0,-1,111997,111997,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,0,host_nic,,40.04333333333334
host,1,-1,96154,96154,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,0,host_nic,,40.04333333333334
host,2,-1,118484,118484,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,0,host_nic,,40.04333333333334
host,3,-1,112239,112239,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,0,host_nic,,40.04333333333334
host,4,-1,126092,126092,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,0,host_nic,,40.04333333333334
host,5,-1,124523,124523,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,0,host_nic,,40.04333333333334
host,6,-1,102269,102269,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,1,host_nic,,40.04333333333334
host,7,-1,112744,112744,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,1,host_nic,,40.04333333333334
host,8,-1,116029,116029,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,1,host_nic,,40.04333333333334
host,9,-1,93797,93797,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,1,host_nic,,40.04333333333334
host,10,-1,128659,128659,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,1,host_nic,,40.04333333333334
host,11,-1,127607,127607,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,1,host_nic,,40.04333333333334
host,12,-1,104813,104813,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,2,host_nic,,40.04333333333334
host,13,-1,91119,91119,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,2,host_nic,,40.04333333333334
host,14,-1,115229,115229,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,2,host_nic,,40.04333333333334
host,15,-1,112312,112312,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,2,host_nic,,40.04333333333334
host,16,-1,118477,118477,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,2,host_nic,,40.04333333333334
host,17,-1,121298,121298,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,2,host_nic,,40.04333333333334
host,18,-1,100861,100861,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,3,host_nic,,40.04333333333334
host,19,-1,106756,106756,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,3,host_nic,,40.04333333333334
host,20,-1,77920,77920,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,3,host_nic,,40.04333333333334
host,21,-1,106561,106561,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,3,host_nic,,40.04333333333334
host,22,-1,112174,112174,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,3,host_nic,,40.04333333333334
host,23,-1,127748,127748,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,3,host_nic,,40.04333333333334
host,24,-1,84927,84927,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,4,host_nic,,40.04333333333334
host,25,-1,106806,106806,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,4,host_nic,,40.04333333333334
host,26,-1,121822,121822,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,4,host_nic,,40.04333333333334
host,27,-1,106385,106385,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,4,host_nic,,40.04333333333334
host,28,-1,119544,119544,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,4,host_nic,,40.04333333333334
host,29,-1,110425,110425,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,4,host_nic,,40.04333333333334
host,30,-1,116694,116694,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,5,host_nic,,40.04333333333334
host,31,-1,102356,102356,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,5,host_nic,,40.04333333333334
host,32,-1,121556,121556,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,5,host_nic,,40.04333333333334
host,33,-1,113123,113123,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,5,host_nic,,40.04333333333334
host,34,-1,111266,111266,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,5,host_nic,,40.04333333333334
host,35,-1,120034,120034,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,5,host_nic,,40.04333333333334
host,36,-1,141467,141467,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,6,host_nic,,40.04333333333334
host,37,-1,104065,104065,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,6,host_nic,,40.04333333333334
host,38,-1,112683,112683,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,6,host_nic,,40.04333333333334
host,39,-1,118250,118250,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,6,host_nic,,40.04333333333334
host,40,-1,114709,114709,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,6,host_nic,,40.04333333333334
host,41,-1,101370,101370,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,6,host_nic,,40.04333333333334
host,42,-1,110841,110841,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,7,host_nic,,40.04333333333334
host,43,-1,101129,101129,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,7,host_nic,,40.04333333333334
host,44,-1,107024,107024,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,7,host_nic,,40.04333333333334
host,45,-1,117702,117702,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,7,host_nic,,40.04333333333334
host,46,-1,117376,117376,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,7,host_nic,,40.04333333333334
host,47,-1,107414,107414,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,7,host_nic,,40.04333333333334
host,48,-1,94605,94605,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,8,host_nic,,40.04333333333334
host,49,-1,103455,103455,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,8,host_nic,,40.04333333333334
host,50,-1,113378,113378,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,8,host_nic,,40.04333333333334
host,51,-1,102327,102327,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,8,host_nic,,40.04333333333334
host,52,-1,116305,116305,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,8,host_nic,,40.04333333333334
host,53,-1,127531,127531,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,8,host_nic,,40.04333333333334
host,54,-1,115248,115248,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,9,host_nic,,40.04333333333334
host,55,-1,88731,88731,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,9,host_nic,,40.04333333333334
host,56,-1,108051,108051,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,9,host_nic,,40.04333333333334
host,57,-1,103733,103733,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,9,host_nic,,40.04333333333334
host,58,-1,121537,121537,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,9,host_nic,,40.04333333333334
host,59,-1,110415,110415,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,9,host_nic,,40.04333333333334
host,60,-1,95196,95196,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,10,host_nic,,40.04333333333334
host,61,-1,105115,105115,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,10,host_nic,,40.04333333333334
host,62,-1,108678,108678,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,10,host_nic,,40.04333333333334
host,63,-1,109437,109437,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,10,host_nic,,40.04333333333334
host,64,-1,87840,87840,0,3,0,0,0,0,0,0,0,0.0,0,60065,0,10,host_nic,,40.04333333333334
host,65,-1,110019,110019,0,4,0,0,0,0,0,0,0,0.0,0,60065,0,10,host_nic,,40.04333333333334
