tor,outgoing_flows,incoming_flows,completed_outgoing_flows,completed_incoming_flows,mean_outgoing_fct_ms,mean_incoming_fct_ms,receiver_generated_credits,receiver_delivered_credits,receiver_credit_drops,receiver_credit_drop_ratio,endpoint_credit_drops,tor_queue_credit_drops,tor_queue_data_drops,max_credit_queue_packets,max_data_queue_packets
0,6,6,6,6,15.111256333333332,14.5185065,689489,140123,549366,0.796772682377819,0,602685,0,60,51.0
1,6,6,6,6,13.615013166666666,14.342391833333332,681105,140143,540962,0.7942417101621629,0,582076,4,60,63.0
2,6,6,6,6,12.900886833333333,13.965178,663248,140128,523120,0.7887245796444166,0,570533,18,54,48.04333333333334
3,6,6,6,6,14.933800333333332,13.3075375,632020,140084,491936,0.7783551153444511,0,532888,21,54,45.0
4,6,6,6,6,15.074950666666666,13.6849155,649909,140155,509754,0.7843467316193498,0,556343,0,60,45.0
5,6,6,6,6,15.2695475,14.424886166666667,685029,140160,544869,0.7953955234011991,0,570848,0,45,41.04333333333334
6,6,6,6,6,15.5090285,14.582752666666666,692544,140137,552407,0.797648958044543,0,588141,39,60,65.0
7,6,6,6,6,12.980893333333333,13.927679166666666,661486,140092,521394,0.7882162283101986,0,549622,9,57,50.04333333333334
8,6,6,6,6,14.146690166666666,13.846992333333333,657601,140100,517501,0.7869528787212915,0,531848,32,60,45.086666666666666
9,6,6,6,6,14.188474833333332,13.6396635,647715,140089,507626,0.7837181476420957,0,552353,2,60,61.0
10,6,6,6,6,16.200969,12.977095666666665,616285,140139,476146,0.7726068296323941,0,509405,0,52,43.04333333333334
11,6,6,6,6,14.462818333333333,13.9213815,661134,140170,520964,0.7879854915947447,0,534927,0,60,42.0
12,6,6,6,6,14.276314,12.913129333333332,613309,140073,473236,0.771611047612215,0,507451,0,60,47.0
13,6,6,6,6,15.214535166666666,12.772547333333334,606600,140063,466537,0.7691015496208374,0,514127,0,57,46.0
14,6,6,6,6,14.756556666666667,13.622309,646942,140148,506794,0.7833685245354297,0,525305,24,60,58.0
15,6,6,6,6,15.487250166666668,13.853136999999998,657882,140093,517789,0.7870545173754564,0,548703,0,56,61.0
